"target","email","status"
"Talking Pools Podcast / CPO Class","talkingpools@gmail.com","sent"
"Pool Nation","support@poolnation.com","sent"
"Pool Guy Podcast / David Van Brunt","David@swimmingpoollearning.com","sent"
"Swim University","matt@swimuniversity.com","sent"
"Swimming Pool Steve","SwimmingPoolSteve@gmail.com","sent"
"Orenda Technologies Blog","info@orendatech.com","sent"
"IPSSA / IPSSAN","info@ipssa.com","sent"
"Pool & Spa News","jmcclain@kenilworth.com","sent"
"United Pool Association","info@unitedpoolassociation.org","sent"
"PHTA","service@phta.org","sent"
"Heritage Pool Supply Group","info@heritagepsg.com","sent"
"MJ The Pool Pro","bluestreetpools@gmail.com","sent"
"Skimmer","sales@getskimmer.com","sent"
"Pool Brain","team@poolbrain.com","sent"
"Paythepoolman","support@paythepoolman.com","sent"
"United Aqua Group","hello@unitedaquagroup.com","sent"
"Pool Scouts","inquiries@poolscouts.com","sent"
"Poolwerx USA","service@poolwerx.com","sent"
"Western Pool & Spa Show","info@westernshow.com","sent"
"Everything Under the Sun Expo / FSPA","Jessica@FSPA.com","sent"
"Southwest Pool & Spa Show","christi@mpire-group.com","sent"
"Pool & Spa Show / NESPA","info@thepoolspashow.com","sent"
"The Deep End Pool Podcast","deependfrank@gmail.com","sent"
"Pool Envy Podcast","poolenvy@poolenvywi.com","sent"
"Rule Your Pool Podcast","ruleyourpool@gmail.com","sent"
"PoolDial / Pool People Podcast","contact@pooldial.com","sent"
"The Pool Operators Club","contact@pooloperators.club","sent"
"NESPA Update Newsletter / Association Route","info@nespapool.org","sent"
"Pool Operation Management","info@pooloperationmanagement.com","sent"
"Pool Training Academy","info@pooltrainingacademy.com","sent"
"Aquatic Training Institute","info@aquatictraininginstitute.com","sent"
"NC Pool School","info@ncpoolschool.com","sent"
"Pool Certs","chad@poolcerts.com","sent"
"IPSSAN Newsletter editorial route","editor@ipssa.com","sent"
"Underwater Pool Masters CPO Courses","office@underwaterpools.com","sent"
"Ultra Pool","info@ultrapool.net","sent"
"Pool Shark H2O","support@poolsharkh2o.com","sent"
"The Pool Deck by Skimmer","community@getskimmer.com","sent"
"Watershape University / WaterShapes","info@watershape.org","sent"
"Pool & Spa Apprenticeship and Training Committee","ATC@POOLAPPRENTICESHIP.COM","sent"
"Talking Pools / CPOClass media route","rudy@cpoclass.com","sent"
"Apartment Association of Greater Augusta CPO course","office@aagaonline.com","sent"
"Apartment Association of Southern Colorado CPO course","maria@aaschq.org","sent"
"Texas Association of Campgrounds CPO class","info@texascampgrounds.com","sent"
"Pool Pro Podcast","poolpropod@gmail.com","sent"
"Waterway Plastics support/training route","waterway@waterwayplastics.com","sent"
"Fluidra / Jandy / Polaris / Zodiac","productsupport@fluidra.com","sent"
"AquaStar Pool Products","Info@aquastarpoolproducts.com","sent"
"LaMotte Technical Service","tech@lamotte.com","sent"
