"target","email","original_sent_at","priority","status","last_checked_at","notes"
"J AND L Pool Service","info@jandlpool.com","2026-07-01","1","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
"MYPOOLGUY.COM Texas","office@mypoolguy.com","2026-07-03","1","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
"Pooltek Services","service@pooltek.com","2026-07-03","1","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
"SLCC Certified Registered Pool Operator","mykel.severson@slcc.edu","2026-07-02","1","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
"Texas Public Pool Council classes","info@tppc.org","2026-07-02","1","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
"Integrity Consultants CPO course","cs@integrity-consultants.com","2026-07-13","1","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
"Louisville Apartment Association / Chadwell CPO","learn@chadwellsupply.com","2026-07-13","1","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
"Anderson Aquatics","brad@andersonaquatics.com","2026-07-13","1","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
"Neptune Pools Service and Repair","daryl@neptunepoolsaz.com","2026-07-14","1","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
"McCallum's Pool Service & Repair","support@mccallumspoolservice.com","2026-07-14","1","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
"HornerXpress / Team Horner","LCastanza@teamhorner.com","2026-06-30","2","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
"Raypak technical training route","warranty@raypak.com","2026-06-30","2","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
"Jack's Magic","jacksmagic@jacksmagic.com","2026-06-30","2","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
"PoolRx","cs@poolrx.com","2026-06-30","2","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
"Water Tech Pool Blaster support","CustomerCare@watertechcorp.com","2026-07-01","2","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
"Aiper robot support","service@aiper.com","2026-07-01","2","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
"Paramount Pool & Spa Systems","paramount@1paramount.com","2026-07-01","2","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
"Beatbot robot support","service@beatbot.com","2026-07-02","2","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
"Pool Covers Inc.","customerservice@poolcoversinc.com","2026-07-03","2","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
"Riptide Pool Vacuum Systems","sales@riptidevac.com","2026-07-03","2","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
"OREQ","salessupport@oreqcorp.com","2026-07-04","2","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
"King Technology / FROG","Customer.Service@KingTechnology.com","2026-07-04","2","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
"Coates Heater","info@coatesheater.com","2026-07-04","2","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
"Blue Square Manufacturing","info@bluesquaremfg.com","2026-07-04","2","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
"Waterco USA","sales@waterco.us","2026-07-04","2","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
"Hydropool Hot Tubs / Swim Spas","info@hydropoolhottubs.com","2026-07-13","2","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
"Master Spas / H2X Swim Spas","customerservice@masterspas.com","2026-07-13","2","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
"Filbur Manufacturing","info@filburmfg.com","2026-07-13","2","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
"PDC Spas / TruSwim","sales@pdcspas.com","2026-07-13","2","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
"Blue-White Industries","sales@blue-white.com","2026-07-13","2","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
"CCEI North America / Vigipool","info-na@ccei-pool.com","2026-07-14","2","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
"Balboa Water Group","techsupport@balboawater.com","2026-07-15","2","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
"Clear Comfort AOP","info@clearcomfort.com","2026-07-15","2","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
"Dimension One Spas","service@d1spas.com","2026-07-15","2","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
"Endless Pools","poolhelp@endlesspools.com","2026-07-15","2","ready","2026-07-23","One prior send; no reply, bounce, suppression, same-org repeat, or prior follow-up found."
